epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,205.645,1.97396,2.23853,1.0635,0.94726,0.92475,0.9413,0.69516,1.03744,0.57416,0.89807,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889
2,388.326,1.31254,0.75539,0.85259,0.97198,0.95809,0.96888,0.7254,1.02743,0.53043,0.89239,0.0199845,0.0066615,0.0199845,0.0066615,0.0199845,0.0066615,0.0199845,0.0066615
3,563.976,1.2966,0.72062,0.85127,0.97665,0.95569,0.97028,0.69803,1.09426,0.52936,0.89851,0.0299736,0.00999122,0.0299736,0.00999122,0.0299736,0.00999122,0.0299736,0.00999122
4,737.915,1.21818,0.68516,0.84373,0.97718,0.95824,0.97299,0.71166,1.09708,0.50236,0.8932,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,910.276,1.12123,0.62733,0.83136,0.97793,0.96485,0.97486,0.74405,0.96596,0.46061,0.88319,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1082.9,1.06591,0.58857,0.82512,0.97992,0.96759,0.97694,0.76163,0.89861,0.43836,0.87617,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1254.16,1.02798,0.56479,0.82116,0.98032,0.97322,0.98004,0.78351,0.84087,0.41535,0.87329,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1425.65,1.00391,0.54999,0.81675,0.98356,0.97026,0.98066,0.77058,0.87489,0.41314,0.87141,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1597.43,0.98221,0.53668,0.81431,0.98149,0.9741,0.98076,0.7637,0.89784,0.41701,0.8722,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1769.49,0.96038,0.52719,0.81375,0.98138,0.97267,0.98139,0.78138,0.86627,0.40905,0.869,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1940.09,0.94822,0.51773,0.81235,0.98451,0.97187,0.98081,0.77795,0.848,0.39954,0.8699,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,2111.72,0.93607,0.50795,0.80946,0.98635,0.97345,0.98124,0.78372,0.83281,0.39332,0.86589,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,2283.9,0.92208,0.50028,0.81021,0.98604,0.97415,0.98185,0.77028,0.87197,0.39162,0.8678,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,2455.52,0.91985,0.49751,0.80729,0.98557,0.97287,0.98174,0.78683,0.83096,0.3667,0.86632,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,2627.17,0.90899,0.49168,0.80833,0.98267,0.9734,0.98158,0.79063,0.81874,0.37046,0.86632,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,2799.19,0.90293,0.48591,0.80598,0.98504,0.97604,0.98341,0.78322,0.86654,0.37314,0.86698,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,2971.17,0.90189,0.48462,0.80482,0.98468,0.97443,0.98237,0.78675,0.82251,0.37391,0.8652,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,3143.07,0.88846,0.47417,0.80359,0.98573,0.97358,0.98305,0.77855,0.85254,0.3772,0.86519,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,3314.59,0.88357,0.47387,0.80412,0.98847,0.97554,0.98383,0.79871,0.77922,0.35896,0.86107,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,3486.69,0.87527,0.46878,0.80315,0.98858,0.97738,0.98459,0.79284,0.831,0.36665,0.86489,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,3658.86,0.87228,0.46536,0.80319,0.98813,0.97825,0.98572,0.79463,0.82253,0.35081,0.86238,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,3830.74,0.87076,0.46174,0.80312,0.9855,0.97773,0.98474,0.79623,0.79956,0.34961,0.86244,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,4003.04,0.8659,0.46066,0.8025,0.98837,0.98054,0.98562,0.79429,0.81068,0.35179,0.86277,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,4175.05,0.86211,0.45877,0.80198,0.98753,0.97822,0.98501,0.79184,0.82444,0.36099,0.86245,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,4347.97,0.85844,0.45446,0.80201,0.98849,0.977,0.98508,0.78903,0.8108,0.34871,0.86215,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,4520.36,0.85078,0.4523,0.80043,0.98879,0.97877,0.9858,0.80991,0.77514,0.34132,0.86046,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,4691.98,0.84789,0.44908,0.80087,0.98649,0.98011,0.98554,0.80208,0.78503,0.33529,0.86013,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,4864.32,0.84454,0.44545,0.79878,0.99007,0.98059,0.98641,0.80874,0.76102,0.33547,0.85903,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,5036.82,0.84199,0.44442,0.80006,0.98924,0.9808,0.98589,0.79852,0.80275,0.33841,0.86187,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,5209.6,0.84075,0.44221,0.79938,0.9901,0.97863,0.986,0.80071,0.78686,0.33656,0.85989,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,5381.3,0.83734,0.44267,0.79886,0.99064,0.97696,0.98656,0.80717,0.78361,0.33423,0.86101,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,5553.12,0.83193,0.43814,0.79932,0.98829,0.98007,0.98602,0.80812,0.76589,0.32778,0.85975,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,5726.2,0.8278,0.43676,0.79888,0.98942,0.9807,0.98687,0.80806,0.78105,0.3274,0.85923,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,5898.16,0.83002,0.43662,0.79791,0.99093,0.98175,0.9868,0.80673,0.77998,0.32807,0.85894,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,6069.93,0.82453,0.43391,0.79788,0.98995,0.9828,0.98733,0.80568,0.77248,0.32845,0.85862,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,6242.82,0.82387,0.43333,0.79781,0.9904,0.98036,0.98686,0.80691,0.76427,0.32316,0.85803,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,6416.73,0.81739,0.42792,0.79656,0.99003,0.97985,0.98634,0.8147,0.74732,0.31946,0.85802,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,6588.56,0.81845,0.42999,0.79798,0.98769,0.98094,0.98714,0.8081,0.77597,0.32566,0.85847,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,6761.06,0.81453,0.42719,0.79641,0.98931,0.98149,0.98711,0.81,0.76682,0.3227,0.85807,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,6933.72,0.81196,0.42484,0.79742,0.99009,0.98329,0.98812,0.81501,0.74819,0.3155,0.85729,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,7106.25,0.81241,0.42524,0.79714,0.9898,0.98431,0.9877,0.81096,0.7645,0.32046,0.85743,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,7278.1,0.80888,0.42322,0.79582,0.99029,0.98266,0.98782,0.81834,0.74102,0.31256,0.85686,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,7449.94,0.8119,0.42449,0.79548,0.98866,0.98285,0.98739,0.81754,0.7448,0.31238,0.85699,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,7622.47,0.80617,0.42231,0.79604,0.98949,0.98336,0.98805,0.8186,0.75519,0.31742,0.8571,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,7794.96,0.80417,0.42055,0.79599,0.98862,0.98364,0.98722,0.8136,0.75213,0.3168,0.85742,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,7967.84,0.80008,0.41656,0.79503,0.98792,0.98408,0.98837,0.81418,0.76199,0.31967,0.85812,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,8140.43,0.79883,0.41529,0.79418,0.9878,0.98431,0.98827,0.81132,0.75933,0.31685,0.857,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,8312.81,0.79467,0.41335,0.79466,0.98991,0.98449,0.98877,0.81305,0.7614,0.31457,0.85662,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,8484.83,0.80154,0.41604,0.79532,0.98969,0.98437,0.98871,0.81615,0.75579,0.31583,0.85655,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,8658.99,0.79027,0.40982,0.7945,0.99156,0.98376,0.98825,0.81259,0.75781,0.31643,0.85652,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,8832.5,0.79036,0.41151,0.79404,0.99113,0.98305,0.98874,0.81331,0.76038,0.31907,0.8561,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,9006.23,0.78875,0.40961,0.79457,0.99017,0.9835,0.98903,0.81281,0.77895,0.32083,0.85677,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,9180.97,0.78469,0.40925,0.79426,0.99135,0.98367,0.98897,0.81411,0.74892,0.31234,0.85573,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,9355.44,0.78351,0.40695,0.79409,0.98916,0.98579,0.9889,0.81339,0.75337,0.31339,0.85608,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,9530.8,0.77931,0.40579,0.79393,0.99007,0.9843,0.98832,0.81902,0.74461,0.31437,0.85566,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,9803.59,0.77993,0.40334,0.7934,0.99079,0.98465,0.98905,0.82359,0.74087,0.31083,0.85535,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,10109.7,0.77767,0.40185,0.79318,0.99154,0.98308,0.98865,0.81984,0.74957,0.31282,0.85544,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,10422.3,0.77716,0.40151,0.7929,0.98992,0.98476,0.98848,0.81896,0.75444,0.31492,0.85611,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,10721.8,0.77106,0.40021,0.79232,0.98998,0.98373,0.98819,0.81888,0.7507,0.31359,0.85614,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,11006.7,0.76999,0.39807,0.79198,0.99123,0.98389,0.98859,0.81826,0.7473,0.31044,0.85598,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,11243.5,0.7668,0.39653,0.79287,0.98936,0.98364,0.98829,0.81991,0.73993,0.30794,0.85557,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,11418.8,0.76874,0.39664,0.79275,0.99057,0.98404,0.98892,0.82244,0.73138,0.30554,0.85516,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,11593,0.76813,0.39655,0.79227,0.98971,0.98457,0.98859,0.82134,0.73422,0.30461,0.85532,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,11768.5,0.76701,0.39355,0.7915,0.99045,0.98382,0.98841,0.81957,0.74441,0.30543,0.85566,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,11944.4,0.76275,0.39302,0.79212,0.99113,0.98378,0.98833,0.81622,0.75758,0.30994,0.8561,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,12118.8,0.76233,0.39283,0.79191,0.9897,0.98421,0.98799,0.81529,0.76086,0.31061,0.8561,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,12295,0.75515,0.38815,0.79177,0.99022,0.98474,0.98822,0.8138,0.7654,0.3114,0.85617,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,12468.9,0.75277,0.38577,0.79148,0.9912,0.98466,0.98839,0.81557,0.76046,0.30929,0.85596,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,12643.1,0.75527,0.3874,0.79201,0.99149,0.98484,0.98869,0.81598,0.76007,0.30902,0.85608,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,12819.9,0.75718,0.38878,0.7908,0.99154,0.98469,0.98878,0.8166,0.75895,0.30899,0.85617,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,12993.4,0.75131,0.38547,0.79053,0.9904,0.98491,0.98856,0.81564,0.75871,0.30779,0.85602,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,13165.8,0.74568,0.38223,0.79111,0.99121,0.98406,0.9887,0.81479,0.75904,0.30793,0.85606,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,13341.9,0.74261,0.38145,0.79056,0.9919,0.98426,0.98863,0.81569,0.75849,0.30733,0.85602,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,13517,0.74666,0.38378,0.79007,0.99184,0.98404,0.98858,0.81523,0.75881,0.30729,0.85602,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,13701.2,0.74302,0.38035,0.78956,0.99113,0.98479,0.98845,0.81398,0.76121,0.30756,0.85609,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,13884.3,0.74162,0.38018,0.78902,0.99039,0.98504,0.98833,0.81462,0.75965,0.30683,0.85595,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,14065.9,0.73665,0.37658,0.78968,0.99086,0.98513,0.9884,0.81579,0.75571,0.30547,0.85584,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,14239.9,0.73785,0.37717,0.78963,0.99088,0.98536,0.98859,0.81675,0.75073,0.30341,0.85571,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,14412.6,0.74007,0.37838,0.78954,0.9913,0.98514,0.98858,0.81751,0.74784,0.30158,0.8555,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,14585.3,0.7321,0.37284,0.7895,0.99101,0.98505,0.98862,0.81849,0.74362,0.30106,0.85532,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,14757,0.73382,0.37397,0.78918,0.99151,0.98543,0.98857,0.8193,0.7405,0.30008,0.85514,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,14929.7,0.72677,0.36954,0.78937,0.99146,0.9856,0.98857,0.81991,0.7398,0.30064,0.85504,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,15101.6,0.7274,0.37068,0.78978,0.99128,0.98569,0.98857,0.81933,0.74073,0.3016,0.855,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,15274.5,0.7244,0.36784,0.78781,0.99096,0.98532,0.98854,0.8193,0.73963,0.30156,0.85494,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,15446.7,0.72822,0.37069,0.788,0.99055,0.98542,0.98847,0.82054,0.73825,0.30178,0.85487,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,15619.3,0.72339,0.36659,0.78802,0.99057,0.98532,0.98841,0.82137,0.73614,0.30123,0.85486,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,15792,0.72424,0.36782,0.78794,0.98991,0.98573,0.98842,0.82164,0.73457,0.29949,0.85482,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,15965.3,0.71939,0.36496,0.78756,0.99119,0.98542,0.98843,0.8221,0.73319,0.29827,0.85478,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,16166.6,0.71705,0.36392,0.78877,0.99145,0.98521,0.98878,0.82282,0.73273,0.29723,0.85473,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,16339.5,0.71703,0.36223,0.78713,0.99075,0.98552,0.98881,0.82309,0.73315,0.29704,0.8548,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,16512.5,0.7126,0.36048,0.78727,0.99071,0.98525,0.98839,0.82274,0.73487,0.29741,0.8549,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,16685.8,0.71373,0.35987,0.78607,0.99041,0.98533,0.98845,0.8222,0.73678,0.2988,0.85496,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,16859.7,0.71123,0.36015,0.78703,0.99053,0.98536,0.9885,0.82239,0.73742,0.29952,0.85499,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,17034.1,0.71107,0.35832,0.78662,0.99041,0.98519,0.98845,0.82208,0.73843,0.30074,0.85508,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
